Date,Time,Time_spent,Topic,Detail,Amap,Image
29 Dec 26,10.40 AM - 03.50 PM (+1),4h 10m,ออกเดินทางสู่กรุงปักกิ่ง,,,
29 Dec 26,03.50 PM - 04.50 PM,1h,เดินทางถึงท่าอากาศยานและผ่านพิธีการตรวจคนเข้าเมือง,,,
29 Dec 26,04.50 PM - 05.50 PM,1h,เดินทางสู่โรงแรมที่พัก,,,
29 Dec 26,05.50 PM - 06.10 PM,20m,เช็คอินและพักผ่อนตามอัธยาศัย,,,
29 Dec 26,06.10 PM onwards,-,อิสระช้อปปิ้งและรับประทานอาหารค่ำ ณ ซานหลี่ถุน ไท่กู่หลี่,"สัมผัสไลฟ์สไตล์ใจกลางเมืองหลวง ณ แหล่งรวมแฟชั่นและสถาปัตยกรรมระดับโลก พร้อมเลือกซื้อสินค้าแฟล็กชิปสโตร์ชั้นนำ",,images/itinerary/taikooli-sanlitun.jpg
30 Dec 26,07.40 AM - 08.20 AM,40m,รับประทานอาหารเช้า ณ โซโห ซานหลี่ถุน,"บริการอาหารเช้าและเครื่องดื่มในย่านธุรกิจใจกลางเมือง",,images/itinerary/breakfast-soho.jpg
30 Dec 26,08.20 AM - 09.00 AM,40m,เดินทางสู่ยูนิเวอร์แซล สตูดิโอส์ ปักกิ่ง,,,
30 Dec 26,09.00 AM - 08.00 PM,11h,ท่องโลกสวนสนุกระดับโลก ยูนิเวอร์แซล สตูดิโอส์ ปักกิ่ง,"เต็มอิ่มกับธีมพาร์คระดับเวิลด์คลาส ชมโซนไฮไลท์ The Wizarding World of Harry Potter, Jurassic World Isla Nublar และโซน Kung Fu Panda Land of Awesomeness แห่งแรกของโลก",https://surl.amap.com/gx015ui94fw,images/itinerary/universal-studios.jpg
30 Dec 26,08.00 PM - 08.40 PM,40m,เดินทางกลับสู่ที่พัก,,,
30 Dec 26,08.40 PM onwards,-,พักผ่อนตามอัธยาศัย,,,
31 Dec 26,08.00 AM - 08.20 AM,20m,เดินทางสู่ภัตตาคารจินติ่งเซวียน,,,
31 Dec 26,08.20 AM - 09.20 AM,1h,ลิ้มลองติ่มซำกวางตุ้งต้นตำรับ ภัตตาคารจินติ่งเซวียน (สาขาตี้ถาน),"สัมผัสรสชาติติ่มซำระดับพรีเมียมในภัตตาคารสถาปัตยกรรมพระราชวังจีนโบราณสีทองอร่าม ลิ้มลองฮะเก๋า เสี่ยวหลงเปา และก๋วยเตี๋ยวหลอดสูตรดั้งเดิม",https://surl.amap.com/dDRU9MCu7g0,images/itinerary/jindingxuan.jpg
31 Dec 26,09.20 AM - 10.50 AM,1h 30m,นมัสการสิ่งศักดิ์สิทธิ์ ณ วัดยงเหอกง (Lama Temple),"สักการะพระอารามหลวงทิเบตที่สำคัญที่สุดในปักกิ่ง ชมความวิจิตรงดงามของพระพุทธรูปไม้จันทน์ขาวแกะสลักองค์ใหญ่ที่ได้รับการบันทึกลงกินเนสส์บุ๊ค",https://surl.amap.com/sSg4LM117JC,images/itinerary/lama-temple.jpg
